Horizon,Metric,Model,Average Rank
horizon_15,mae,proposed,1.0
horizon_15,mae,cnn_lstm,3.4
horizon_15,mae,dcnn_rbilstm,3.4
horizon_15,mae,proposed_no_ta,3.4
horizon_15,mae,lstm,3.8
horizon_15,mae,cnn,6.0
horizon_15,mape,proposed_no_ta,1.0
horizon_15,mape,cnn,2.4
horizon_15,mape,cnn_lstm,2.6
horizon_15,mape,dcnn_rbilstm,4.0
horizon_15,mape,lstm,5.2
horizon_15,mape,proposed,5.8
horizon_15,nrmse,proposed,1.0
horizon_15,nrmse,cnn_lstm,2.8
horizon_15,nrmse,dcnn_rbilstm,2.8
horizon_15,nrmse,lstm,3.4
horizon_15,nrmse,proposed_no_ta,5.0
horizon_15,nrmse,cnn,6.0
horizon_15,r2,proposed,1.0
horizon_15,r2,cnn_lstm,2.8
horizon_15,r2,dcnn_rbilstm,2.8
horizon_15,r2,lstm,3.4
horizon_15,r2,proposed_no_ta,5.0
horizon_15,r2,cnn,6.0
horizon_15,rmse,proposed,1.0
horizon_15,rmse,cnn_lstm,2.8
horizon_15,rmse,dcnn_rbilstm,2.8
horizon_15,rmse,lstm,3.4
horizon_15,rmse,proposed_no_ta,5.0
horizon_15,rmse,cnn,6.0
