Horizon,Metric,Baseline,Raw p-value,Holm-adjusted p-value,Significant,Effect size,Effect size method,N effective
horizon_15,mae,cnn,0.0625,0.3125,False,-1.0,rank_biserial,5
horizon_15,mae,cnn_lstm,0.0625,0.3125,False,-1.0,rank_biserial,5
horizon_15,mae,dcnn_rbilstm,0.0625,0.3125,False,-1.0,rank_biserial,5
horizon_15,mae,lstm,0.0625,0.3125,False,-1.0,rank_biserial,5
horizon_15,mae,proposed_no_ta,0.0625,0.3125,False,-1.0,rank_biserial,5
horizon_15,mape,cnn,0.0625,0.3125,False,1.0,rank_biserial,5
horizon_15,mape,cnn_lstm,0.0625,0.3125,False,1.0,rank_biserial,5
horizon_15,mape,dcnn_rbilstm,0.0625,0.3125,False,1.0,rank_biserial,5
horizon_15,mape,proposed_no_ta,0.0625,0.3125,False,1.0,rank_biserial,5
horizon_15,mape,lstm,0.4375,0.4375,False,0.4666666666666667,rank_biserial,5
horizon_15,nrmse,cnn,0.0625,0.3125,False,-1.0,rank_biserial,5
horizon_15,nrmse,cnn_lstm,0.0625,0.3125,False,-1.0,rank_biserial,5
horizon_15,nrmse,dcnn_rbilstm,0.0625,0.3125,False,-1.0,rank_biserial,5
horizon_15,nrmse,lstm,0.0625,0.3125,False,-1.0,rank_biserial,5
horizon_15,nrmse,proposed_no_ta,0.0625,0.3125,False,-1.0,rank_biserial,5
horizon_15,r2,cnn,0.0625,0.3125,False,1.0,rank_biserial,5
horizon_15,r2,cnn_lstm,0.0625,0.3125,False,1.0,rank_biserial,5
horizon_15,r2,dcnn_rbilstm,0.0625,0.3125,False,1.0,rank_biserial,5
horizon_15,r2,lstm,0.0625,0.3125,False,1.0,rank_biserial,5
horizon_15,r2,proposed_no_ta,0.0625,0.3125,False,1.0,rank_biserial,5
horizon_15,rmse,cnn,0.0625,0.3125,False,-1.0,rank_biserial,5
horizon_15,rmse,cnn_lstm,0.0625,0.3125,False,-1.0,rank_biserial,5
horizon_15,rmse,dcnn_rbilstm,0.0625,0.3125,False,-1.0,rank_biserial,5
horizon_15,rmse,lstm,0.0625,0.3125,False,-1.0,rank_biserial,5
horizon_15,rmse,proposed_no_ta,0.0625,0.3125,False,-1.0,rank_biserial,5
